pond,cycle,mean_t,sd_t,B,markov_memory,time_memory,mean_duration
3,21,6.09433962264151,7.719266981300243,0.11763237547209833,0,-0.23058420918025596,6
3,22,6.5813953488372094,9.129315830359582,0.1621772848129358,0,-0.2206949242625565,6.454545454545454
4,1,5.203125,8.165315121398931,0.22158083474954857,0,-0.15585347979897554,5.138461538461539
4,2,4.6438356164383565,9.023687751649511,0.32045689751206996,0,-0.08455792952552406,4.635135135135135
4,3,4.302631578947368,5.430824951066165,0.11590881087720109,0,-0.07909466734080836,4.259740259740259
4,4,4.617647058823529,6.669219587284862,0.18176634780820206,0,-0.13709599993879057,4.565217391304348
4,5,6.7,8.715444587568346,0.13074190472545202,0,-0.19666486632460164,6.560975609756097
4,6,4.655172413793103,4.403155663193544,-0.027821552548955124,0,-0.11748798332285877,4.627118644067797
4,7,3.4625,3.1298633043309527,-0.050457882903770866,0,0.1218817192254774,3.45679012345679
4,8,4.3428571428571425,6.349450995976783,0.18766704317394223,0,-0.09139089172367042,4.295774647887324
4,9,3.896103896103896,5.04084479026977,0.12809079858669015,0,-0.12781439139206455,3.858974358974359
4,10,4.142857142857143,5.680594259293332,0.15653735672775446,0,-0.06570073661294286,4.197183098591549
4,11,5.4222222222222225,7.655921323598572,0.17079634380448003,0,-0.08221051041653861,5.391304347826087
4,12,4.09375,5.299651830432781,0.12837754119342532,0,-0.1840041399238373,4.046153846153846
4,13,3.419047619047619,6.475962881154835,0.30893501952773783,0,-0.03036483217021425,3.3962264150943398
4,14,4.7,4.578135213588422,-0.01313462065449308,0,-0.14897713624112055,4.639344262295082
4,15,3.847058823529412,4.224379025520852,0.04674758191142337,0,0.04769487596968551,3.8372093023255816
4,16,3.768292682926829,4.056084533196963,0.036781438614319095,0,-0.1579849494372179,3.746987951807229
4,17,2.5671641791044775,2.9594953877791674,0.07098885030400316,0,0.025663694136941372,2.5555555555555554
4,18,3.4216867469879517,3.9358281798944783,0.06987976755955853,0,0.032467039742008916,3.392857142857143
4,19,3.225,2.912109157781597,-0.05098342463432811,0,-0.26219971312873197,3.197530864197531
4,20,6.388888888888889,8.113386717342964,0.11891222283163831,0,-0.05106769216070319,6.290909090909091
4,21,3.4754098360655736,4.064507175443903,0.07813048054495669,0,-0.17009463624646445,3.4516129032258065
4,22,7.583333333333333,10.963250300109777,0.18223932954863958,0,-0.06675545808071301,7.594594594594595
5,1,4.428571428571429,4.487790073104995,0.00664157061402596,0,-0.061005949208199586,4.368421052631579
5,2,4.205479452054795,6.859622001469479,0.23986608352057448,0,-0.08739355809120242,4.162162162162162
5,3,6.869565217391305,9.001536978993627,0.1343304160745645,0,0.10008600230234921,8.25
5,4,3.4683544303797467,5.227725501979865,0.2023177207759091,0,0.5182183109464258,3.4375
5,5,5.16,7.4185646887262715,0.17955663023703683,0,-0.14808662158644803,5.176470588235294
5,6,4.136363636363637,4.274742866351914,0.016451965023103768,0,-0.19429193828194313,4.104477611940299
5,7,2.938775510204082,3.219836477024184,0.045637063579093265,0,0.3327583407744136,2.919191919191919
5,8,3.4516129032258065,3.8097262039861834,0.04931780426074544,0,-0.022189025723238356,3.4603174603174605
5,9,3.364864864864865,3.5329149915689624,0.024362929841454797,0,-0.27531331108639223,3.3333333333333335
5,10,2.75,3.9230090491866063,0.17578412385482797,0,0.14654228424951188,2.857142857142857
5,11,2.4347826086956523,2.158963945899304,-0.06004220292050219,0,-0.13190455892458905,2.7714285714285714
5,12,2.7142857142857144,4.633898560932886,0.26123635101544396,0,0.34001836195526597,2.891304347826087
