"cycle","PC1","PC2"
1,-1.76159005643317,-0.799832186565735
2,-1.79777785664511,1.08908445970058
3,-1.55205425383373,1.31468035886427
4,-2.97579732234826,-0.617664031443254
5,1.87551698546939,0.522873336857116
6,1.19278629384147,0.72449909459096
7,-2.10769268021775,-0.0163475571512531
8,-0.629431090785096,1.28533729096039
9,-0.517724087916133,0.338909604352993
10,0.703236097673818,0.992407631404239
11,6.7142412704636,1.77842110770391
12,2.12618264862416,-0.986513185856755
13,0.675406277447161,1.00370122023734
14,-0.484360333462983,1.1571594369988
15,-0.0517476295947027,-2.46478738302739
16,-0.375028749233209,-0.717272217872552
17,-0.955750827012994,-0.492674860179617
18,-1.52116370340624,-0.41637181355341
19,-2.28114261595805,1.84194990718563
20,-0.375149039457184,0.161571696230081
21,-0.705633483785978,0.907414219948027
22,2.34126787774172,-0.697698182485563
23,2.58293504556832,-2.39518074502747
24,-0.119528766739052,-3.51366720187133
