cycle,meanMaxT,meanMinT,hotdays,meanPrec,noPrec,burstinessRain,Rain_inter_event_time,Dsevmean,Dext
1,-0.6387286602855009,-0.14001084902025318,-0.8313428257670034,0.5889085984415443,-1.5835186595730504,1.481310276958627,-0.5791333635491083,-0.5855473593080502,-1.2930412216022722
2,-1.3868702993734083,-1.1470231972561136,-0.8313428257670034,1.020803871391229,0.34665469780495695,-0.516157599808219,0.2000545639898382,-0.4822875025301511,-0.6473778901515441
3,-1.4819332118570032,-0.900062964055996,-1.0915892755723262,0.13251256556135627,0.34665469780495695,-0.6339009872323604,0.16469263153356625,-0.44804900854806656,-0.4000248557214676
4,-1.0741725139878213,0.5307456732762842,-1.2650869087758747,2.437486970673773,-1.0510570437446345,-0.7377568878301034,-0.9213382432251638,-0.5856217889352704,-1.295495347232289
5,0.8249907324484979,0.10223001115598099,1.1205055477729178,-1.3739888889314293,1.8109241413331005,0.2049978301193407,1.8508984633958034,-0.14908252154950963,-0.2291492246454065
6,0.5680131829814987,-0.8238633381987088,0.16626856515340077,-0.8376659888711949,1.0122317175904767,0.2988174197888118,0.8745732641183847,0.4404936121285263,0.27371823875177936
7,-0.8251982193879325,-0.16239550169058775,-1.3084613170767618,0.07084439068773428,-1.5169609575944984,0.20199644834338581,-1.2845808082542898,-0.5319935116015361,-1.0101319018814856
8,-0.11811256201578116,-1.4250136170351435,-0.39759874275813195,-0.3723986250071552,0.013866187912197068,-0.39842322206534114,-0.10367292517665735,-0.4081919431716369,-0.43940501117987857
9,-0.2654194438705453,-0.45671900223672135,0.38314060665783645,0.29591232856781735,-0.11924921604490689,-0.24311363775748057,-0.2699223573694731,-0.33022344681532606,-0.43940501117987857
10,-0.04554305070381451,-1.087348791464263,0.8168846896667078,-1.4516518611102047,0.14698159186930101,0.3874942959542415,-0.04288191198475112,-0.05384460442709501,-0.047144419200663944
11,1.9462513060952744,-0.8261585076522437,2.5952354300030804,-1.7121409276528798,2.4099434591400684,-0.48063331824324074,3.276006900830113,4.4043698160039995,2.69959288767896
12,1.4016418001453124,1.356547642657343,0.7301358730649335,-0.5279771762544827,0.8125586116548208,-0.24212304868233675,0.42971066977529415,0.3050316905877193,1.5581391062757461
13,0.19783124887136871,-0.7414579754801803,0.2530173817551751,-0.42830524513129253,0.41321239978350893,-0.8994597529144277,0.2177355302179742,-9.481966550881427e-6,0.8595979284015142
14,-0.5776167879746203,-0.6954460851093205,-0.05060347635103489,-0.45249263433267245,0.213539293847853,-0.6312371903439606,0.10575607743977887,-0.3014330284536056,-0.43940501117987857
15,0.02096616645503736,0.9227606159396647,0.3397661983569493,1.1761537545428116,-0.9844993417660826,1.9577794337543264,-0.9789787566248411,-0.03514286239684138,0.8626513172667676
16,0.43499474866379945,0.41506913281823427,-0.39759874275813195,0.40277418440640855,-0.3189223219805628,0.08319262931350098,-0.42852857182165316,-0.3723185937730524,0.08383740221535481
17,-0.009832854771560432,1.2512570575242732,-1.4385845419794232,0.29456807321060363,0.6128855057191649,-0.43687112464425126,0.4767428759216264,-0.46266502453438363,-0.6281443939349
18,-0.9568286268495717,-0.29716886644156526,-0.1807267012536963,0.8614101734938352,-1.4504032556159465,0.5269446870208242,-1.2174170914448432,-0.2593759617702711,-0.43940501117987857
19,-1.7274253484904567,-0.8991448962745832,-0.7012196008643419,0.11768524482671487,-0.7848262358304267,-1.705268522495888,-0.7969037773650612,-0.5691226445942664,-1.1032174577549176
20,0.13413630036407326,0.7827552792741723,-0.48434755935990625,-0.8524933096058364,-0.9179416397875306,-1.077331619438438,-0.8749786671053652,-0.2896367979999818,-0.016867357648943652
21,-0.3029239977057197,-0.29558054792531263,-0.09397788465192203,0.038151363822008955,-0.3189223219805628,-1.2723313068320694,-0.46592849726995283,-0.10681166972366368,-0.4400328107596504
22,1.460496009598837,0.42583246868960983,1.3373775892773534,-1.1411446574139832,0.7460009096762689,1.0560184204250702,0.5440475847172401,0.645909895846643,0.41668532487253196
23,1.492874338865831,2.2355975433603628,1.5976240390826761,0.06915946787697952,0.34665469780495695,0.6122982470637838,0.09396876662102155,0.4396350750331488,1.9867550011926531
24,0.9284097427841561,1.874598715145082,-0.2674755178554706,1.6438883268083149,-0.18580691802345886,2.4637585295462046,-0.2699223573694731,-0.26408233750077786,0.12726971859774702
