pond,cycle,mean_t,sd_t,B,markov_memory,time_memory
1,1,4.679245283018868,5.373630719704897,0.06907331160733404,0,0.20716299464898813
1,2,6.530612244897959,13.40569226239412,0.3448522776616635,0,0.07335437466962809
1,3,6.72,7.505209075389314,0.055198420721125664,0,-0.104049409787703
1,4,4.325,5.196822300725363,0.09156044643460193,0,-0.03875671998637034
1,5,4.597014925373134,4.376451106507719,-0.02457955689382426,0,-0.2504774622047059
1,6,4.762711864406779,4.538490494346177,-0.024106708080552364,0,-0.18897246260139236
1,7,5.549019607843137,7.787974641690088,0.167875534168826,0,0.06177129277538537
1,8,5.232558139534884,6.560477658649144,0.11260200866334533,0,-0.10196835198764957
1,9,5.125,6.129103449192964,0.08922109644060265,0,-0.14142198411067816
1,10,6.6976744186046515,8.189816219000074,0.10022789177286734,0,-0.06103158485643997
1,11,7,11.638494123147783,0.24886635650393443,0,-0.12767438961190777
1,12,5.75,6.081328649196233,0.028004348372043724,0,0.0015684861733099506
1,13,3.6,4.06700633642739,0.060911171314487506,0,0.22967289909240743
1,14,4.2894736842105265,5.385946625490414,0.11332561337728371,0,-0.0649781067808501
1,15,4.5,4.360984042413113,-0.01568854620677418,0,-0.20518526802369758
1,16,8.078947368421053,15.362962796578236,0.3107261898406564,0,-0.0832768310506411
1,17,6.8125,8.869398142165867,0.13116385041650216,0,-0.16025928754594634
1,18,4.416666666666667,5.059505069598782,0.06783735255366505,0,-0.040440165061898216
1,19,6,7.990560468688888,0.1422788224348693,0,0.2269503546099291
1,20,5.568965517241379,7.483577503066572,0.14668497800362132,0,-0.07761856666792691
1,21,5.192982456140351,6.06346964702562,0.07733228755448063,0,-0.06596100217483089
1,22,5.384615384615385,9.695670847471245,0.28587358333312934,0,0.01884603976312697
2,1,7.444444444444445,8.170221860667263,0.04648049481436719,0,0.055534538851479166
2,2,3.730769230769231,3.74746001225584,0.002231916265762614,0,-0.1470733431829224
2,3,7.538461538461538,9.877795817004376,0.13431900039124428,0,-0.1458834384810369
2,4,4.888888888888889,6.664084006782348,0.1536569966816596,0,-0.08755646581887755
2,5,6.3023255813953485,8.937707396783612,0.1729249417741855,0,-0.05720603321595919
2,6,4.428571428571429,4.6061469648450375,0.019654794819394337,0,0.11849794569387642
2,7,3.8297872340425534,4.424826938085534,0.07208570765816617,0,-0.16707994908228502
2,8,5.560975609756097,6.671014842165339,0.09074886354533357,0,0.08536174813905746
2,9,6.111111111111111,6.042358894513054,-0.005657003025986885,0,-0.19451636434297823
2,10,6.576923076923077,7.869888391081824,0.08949831712154997,0,-0.04283661690573022
2,11,12.416666666666666,26.38167457958627,0.35993827221333374,0,0.025352171332784987
2,12,8.357142857142858,11.205865810879075,0.14561783425433913,0,0.18417393502717735
2,13,4.741935483870968,4.810969309888338,0.007226474827056624,0,-0.0552309989985602
2,14,6.909090909090909,9.390292319837997,0.15222670550768666,0,-0.12853649180013424
2,15,4.5,8.268489857785513,0.29513982465888067,0,-0.07268677643840601
2,16,4.32258064516129,3.615876618870995,-0.08902284194338908,0,-0.11466591166477914
2,17,5.362068965517241,12.25847115029149,0.3913842674202115,0,0.02654828067223169
2,18,4.082191780821918,6.120896413692502,0.19981250715510537,0,0.02840417936246875
2,19,4.983050847457627,5.764012986129239,0.07266748860567279,0,-0.1847535446645322
2,20,4.161290322580645,3.820537891865948,-0.042691025359072134,0,0.14531555684370698
2,21,3.85,3.843660860892818,-8.23943142516713e-4,0,-0.06829477937670209
2,22,5.566666666666666,8.316548067041543,0.1980723811537836,0,-0.08076010061296304
3,1,4.470588235294118,4.2443041416772695,-0.025965219514906594,0,0.007412445431793595
3,2,8.91891891891892,13.195913463346603,0.19339936520873297,0,-0.28822706094906064
3,3,7.764705882352941,10.485368806188102,0.14907681038387344,0,-0.21498702551656315
3,4,5.875,6.9177864400955045,0.08151362840132892,0,0.013412320203659936
3,5,9.925925925925926,20.650807259180947,0.35075301433701983,0,-0.12485305369244457
3,6,16.833333333333332,27.021596301230367,0.23231739402603638,0,-0.2843204195612652
3,7,10.652173913043478,21.56514168672164,0.33872989013888305,0,-0.1913538275865
3,8,4.9375,7.093317952444264,0.1791913036142545,0,-0.09934110147926853
3,9,4.890909090909091,6.078720404068751,0.10828180784988849,0,-0.22181628771322204
3,10,8.634146341463415,16.00899137603768,0.29926566653631886,0,-0.0805235158644055
3,11,17.153846153846153,37.686969794714095,0.3744131681069017,0,-0.1925895620030645
3,12,6.375,9.83328777098976,0.21336539798975812,0,-0.17390990769717737
3,13,6.411764705882353,7.318952030415927,0.06606991768574974,0,-0.14211982781340599
3,14,9.347826086956522,11.89961304050825,0.12009856520794773,0,0.11764859737644778
3,15,4.509090909090909,3.93875674722427,-0.06751236351193975,0,-0.28626049064835835
3,16,5.612244897959184,6.160412345948024,0.04656276290321264,0,-0.2355442328555112
3,17,3.9310344827586206,3.689064299019312,-0.03175420564336196,0,9.334992887624466e-4
3,18,6.612903225806452,9.573147930034434,0.18288862896369573,0,-0.23447143024756545
3,19,8.193548387096774,10.454406901202669,0.1212389497482578,0,0.29182977763082935
3,20,8.548387096774194,12.39042294052795,0.1834887387062222,0,-0.2609453047264718
3,21,7.690476190476191,8.315392999932216,0.03904297867375487,0,-0.27337930107752645
3,22,8.575757575757576,11.478322784248313,0.14473688927064238,0,-0.21392941852943292
4,1,6,9.069689038730008,0.20369956080982973,0,-0.1678925550841222
4,2,5.947368421052632,10.13554750905301,0.2604116757310481,0,-0.05903443079338668
4,3,5.551724137931035,6.260913037482306,0.06003645833018278,0,0.028143228547295573
4,4,6.038461538461538,7.682323837714166,0.119808178189783,0,-0.18698158645306825
4,5,7.243243243243243,8.961043482781474,0.10600900049363952,0,-0.25086013462976814
4,6,5.510204081632653,4.792017881242688,-0.06971177703004179,0,-0.08073301061205564
4,7,5,4.6984541817616154,-0.03109215268609045,0,0.019485403960519277
4,8,5.333333333333333,7.244045173533257,0.1519165412058463,0,-0.12329854809437386
4,9,5.454545454545454,5.72136406235495,0.02387444238037254,0,-0.059607076733182475
4,10,4.913793103448276,6.317018180540953,0.1249442307959649,0,0.005048843366301145
4,11,6.9714285714285715,8.343668660888271,0.08960048171056303,0,-0.13637472371443712
4,12,5.24,6.238655009417544,0.08700104747448262,0,-0.2767529712475436
4,13,3.988888888888889,6.922515689448574,0.2688587687770141,0,-0.05252325784357912
4,14,5.291666666666667,4.93342198501907,-0.035035850920327793,0,-0.12837166906264966
4,15,4.8088235294117645,5.186829914833169,0.037817075945049294,0,-0.03344889540796504
4,16,4.681818181818182,5.1713979389867735,0.049687305258112595,0,-0.18405790862155358
4,17,3.405940594059406,3.4962214398455433,0.013080082058731448,0,-0.0209787944078148
4,18,4.303030303030303,4.742507279000771,0.048584948322307274,0,0.04351514002175215
4,19,3.909090909090909,3.8619535619534986,-0.006065767261151119,0,-0.048999553520490166
4,20,7.666666666666667,8.487959386416417,0.05083947576694341,0,-0.1258675078864353
4,21,4.382978723404255,4.599400676881064,0.0240940561328254,0,-0.20913662181391593
4,22,8.3,11.715448098042645,0.17064060126521213,0,-0.05009789471660116
5,1,4.96,4.5353936894571065,-0.04471708329632934,0,-0.10887139944994535
5,2,4.903225806451613,7.327714463572593,0.19822586028508027,0,-0.11054959104050927
5,3,7.523809523809524,9.184873693301654,0.09941323010966253,0,0.07555243324246329
5,4,3.7534246575342465,5.474133168106284,0.18647496369957392,0,0.5142664855049459
5,5,5.48936170212766,7.589673592183836,0.16058614743318805,0,-0.07868958931517483
5,6,4.875,4.891783463579051,0.0017184228197172084,0,-0.2514057514597057
5,7,3.6455696202531644,3.5483400766524706,-0.013515535737474686,0,0.255658383171788
5,8,4.196078431372549,4.195328868363658,-8.93250657627494e-5,0,-0.06781350174731966
5,9,3.4583333333333335,3.5994424450868716,0.01999342515031324,0,-0.2784345699143906
5,10,3.073529411764706,4.624129370158004,0.2014378660216465,0,0.2579925994749025
5,11,2.847457627118644,2.412707445589118,-0.0826495320052248,0,-0.11983306932196515
5,12,3.207792207792208,5.079208554017215,0.22582553085422824,0,0.28783423062884655
5,13,3.542372881355932,4.161904545369721,0.0804139868931345,0,0.18090714521103743
5,14,3.5223880597014925,5.079245377485099,0.1809955433642405,0,0.4466981106859153
5,15,3.5789473684210527,4.109381649817847,0.0689921412232038,0,0.22535188361535113
5,16,4.0606060606060606,8.479620433955915,0.3523871259634859,0,0.05067589301647724
5,17,3.7529411764705882,4.270345927642946,0.06448787690859085,0,-0.0172372819205032
5,18,4.907692307692308,7.208335186008358,0.18988425699035383,0,0.023288951395764132
5,19,3.0495049504950495,4.714607592629025,0.21446142529304218,0,0.04712736861798323
5,20,3.3066666666666666,4.340174779558666,0.13515490286543916,0,0.5721105106191184
5,21,4.428571428571429,7.045548350043099,0.22807648621109858,0,0.1438035723224964
5,22,6.659574468085107,10.211410062628962,0.21052924256303157,0,-0.17885068772553728
6,1,4.181818181818182,6.978889245782248,0.2506177213325124,0,0.054944370978979196
6,2,3.207792207792208,4.843165728327263,0.20312781826845552,0,0.048551074747378034
6,3,3.593220338983051,3.970228187951768,0.04984602560936632,0,-0.08649365380546048
6,4,5.735849056603773,10.05207774809273,0.273387934013286,0,0.01130516463036587
6,5,5.051282051282051,7.563585608721491,0.19915417467318355,0,0.14382658620379835
6,6,4.754385964912281,6.63131289994239,0.16484951493173597,0,-0.11212430957607103
6,7,2.7448979591836733,2.770653369256629,0.004669598475160768,0,0.08812848587833857
6,8,3.2535211267605635,3.8756319663808374,0.08726293733526012,0,0.0835718349882855
6,9,3.1666666666666665,4.493622224068318,0.17322526295406251,0,0.11631726234698181
6,10,3.7222222222222223,3.6278353543638744,-0.012841650133329715,0,-0.17036233688205585
6,11,3.566666666666667,4.315390928995483,0.09499096565100879,0,-0.0024542907865020853
6,12,3.26027397260274,5.008402376840437,0.2114157490703356,0,0.012628414709718329
6,13,3.6296296296296298,6.783154206732519,0.3028512477221093,0,-0.14571882621984109
6,14,2.988235294117647,3.5740270659001894,0.08926674059111378,0,0.16401692908205784
6,15,3.5384615384615383,4.344813442042575,0.10228641086035958,0,0.10778292421004669
6,16,3.2804878048780486,3.794975203627257,0.07271430832593581,0,-0.13942452273656528
6,17,3.7432432432432434,4.783134785721429,0.12196169803234208,0,-0.04268937669430779
6,18,3.3373493975903616,5.406132715482313,0.23660862927812748,0,-0.10589393383796501
6,19,2.9791666666666665,3.208472883727403,0.03705875482778123,0,0.08393404173355833
6,20,2.7475728155339807,3.0987614432852064,0.06006988519711444,0,0.15257429472056463
6,21,3.3076923076923075,3.6658405387936046,0.05135821956897707,0,0.05357341336000889
6,22,4.9411764705882355,14.351880385100598,0.4877767159918716,0,-0.06777463279780402
7,1,5.63265306122449,9.315519929914048,0.24637571901748845,0,-0.04936208991494532
7,2,4.051282051282051,4.61661027360482,0.06522095581409376,0,-0.14781887155611834
7,3,4.264150943396227,7.671503070545779,0.28547678436132895,0,-0.044341414091592896
7,4,9.473684210526315,14.16454813601838,0.1984439384773942,0,-0.2538293356470258
7,5,6.959183673469388,13.078224879026761,0.3053808674672702,0,-0.14386033816737348
7,6,6.048780487804878,6.633065729782101,0.04607256955749434,0,-0.1761253347401181
7,7,7.2,10.189243821558714,0.17190188671992337,0,-0.18996515374577058
7,8,5.048780487804878,8.083783827862405,0.2311051571578246,0,0.19811563019167597
7,9,5.073170731707317,6.369420083109761,0.11328285458953254,0,0.11808067972309376
7,10,5.761904761904762,8.336840144830928,0.18263578779242884,0,-0.17652125060328666
7,11,3.5185185185185186,3.3966728489872,-0.01761999965812487,0,-0.0852288272349833
7,12,4.208333333333333,5.66421515598881,0.14746768012637423,0,0.14704303579981365
7,13,4.814814814814815,7.455715988988289,0.21522305892056098,0,0.06623840293666558
7,14,4.061224489795919,4.552509213176226,0.05703504894872599,0,-0.25302506403406144
7,15,4.492307692307692,7.644693986932777,0.2597335304004308,0,-0.017452281832416715
7,16,3.75,4.790864322059325,0.12186873398409843,0,-0.050603217791622065
7,17,11,21.301408404140794,0.3189151468336666,0,0.30192837465564737
7,18,4.58,6.818611983956493,0.19639338430918885,0,-0.13028821252052078
7,19,5.26530612244898,9.006422500555,0.2621347754662233,0,0.07566274002783645
7,20,7,10.23067283548187,0.18749545454946956,0,-0.2964843157169005
7,21,4.157894736842105,3.922763079187755,-0.029098083721341636,0,-0.17517529829674341
7,22,5.444444444444445,6.552161293043914,0.0923358550608986,0,-0.2508057427483153
8,1,4.442622950819672,6.86421782425338,0.21417077693110634,0,0.30386778776456946
8,2,4.045454545454546,5.438981290877685,0.14692774240560794,0,0.10642417558160326
8,3,5.846153846153846,10.26202711959573,0.27413854381393193,0,0.048299601952583995
8,4,3.579710144927536,5.347912723949766,0.19805973045595182,0,0.19118129247645163
8,5,3.7857142857142856,4.8080019880282,0.1189575813012869,0,0.13686682402962883
8,6,3.0869565217391304,2.9592284886574474,-0.021125392766190784,0,0.070330527176936955
8,7,7.689655172413793,19.411159250500106,0.43251482760517007,0,-0.06547673521682856
8,8,2.8,2.6711673731039647,-0.023547557241507738,0,-0.0015413755775445781
8,9,5.267857142857143,9.68126789485489,0.2952287000653264,0,-0.13190345142629348
8,10,4.328947368421052,6.7752257682328425,0.22030261683662347,0,0.22669660537760267
8,11,3.7758620689655173,4.538502355377164,0.09172562657691541,0,0.21005895865049384
8,12,3.8253968253968256,4.058204284829574,0.02953059853963905,0,0.2698609621234128
8,13,3.966666666666667,5.865632934092801,0.19313551707470897,0,-0.09745959710096348
8,14,4.339285714285714,9.137886737423157,0.3560539898359016,0,0.0508748749343591
8,15,5.133333333333334,11.377010311868563,0.3781675967931604,0,0.030923852817880605
8,16,7.032258064516129,8.86748318659337,0.11542484202056918,0,-0.04211842750788174
8,17,5.88,10.31309846748299,0.27376468292248074,0,-0.13206709078941398
8,18,6.119047619047619,7.444763689192627,0.09773920028949486,0,-0.09267505579363167
8,19,3.3333333333333335,5.2383657938784864,0.2222467718794998,0,0.048099105597008696
8,20,7.230769230769231,9.713115637354235,0.14650397036485083,0,0.03026912389316712
