Pond_Cycle,Connectance,Unique_Nodes,totalEdges,modularity,mean_Distance,harm.centrality,betweenness,pond,cycle,No_Spec,mean_t,sd_t,B,markov_memory,time_memory,total_weight,S,H,J
pond_1_cycle_1,0.23636363636363636,11,26,0.29855371900826444,2.9454545454545453,0.5063636363636363,0.5488888888888889,1,1,7,4.679245283018868,5.373630719704897,0.06907331160733404,0,0.20716299464898813,44,26,3.0930226018668407,0.9493342403368795
pond_1_cycle_2,0.2857142857142857,8,16,0.21767713659605556,2.5357142857142856,0.5714285714285714,0.717687074829932,1,2,5,6.530612244897959,13.40569226239412,0.3448522776616635,0,0.07335437466962809,37,16,2.14767492986898,0.7746099926908824
pond_1_cycle_3,0.40476190476190477,7,17,0.012471655328798173,3.5,0.5571428571428572,0.3759259259259259,1,3,4,6.72,7.505209075389314,0.055198420721125664,0,-0.104049409787703,42,17,2.6114897782139184,0.9217413096308295
pond_1_cycle_4,0.1,20,38,0.3563265306122449,6.1078947368421055,0.39478696741854635,0.3755001538935057,1,4,7,4.325,5.196822300725363,0.09156044643460193,0,-0.03875671998637034,70,38,3.248700868631265,0.8930924866053559
pond_1_cycle_5,0.2222222222222222,10,20,0.24677685950413225,5.044444444444444,0.4437149270482603,0.8873456790123457,1,5,6,4.597014925373134,4.376451106507719,-0.02457955689382426,0,-0.2504774622047059,55,20,2.680303147709381,0.8947071710549087
pond_1_cycle_6,0.17307692307692307,13,27,0.30493827160493825,4.871794871794871,0.4538461538461538,0.6963383838383839,1,6,6,4.762711864406779,4.538490494346177,-0.024106708080552364,0,-0.18897246260139236,45,27,3.14402071649352,0.9539369951599389
pond_1_cycle_7,0.11904761904761904,15,25,0.35045970795024334,5.5476190476190474,0.3872335600907029,0.5341444270015698,1,7,7,5.549019607843137,7.787974641690088,0.167875534168826,0,0.06177129277538537,43,25,3.075640075603674,0.9555013125520642
pond_1_cycle_8,0.13333333333333333,15,28,0.3078889700511322,4.530612244897959,0.44999999999999996,0.3649921507064364,1,8,6,5.232558139534884,6.560477658649144,0.11260200866334533,0,-0.10196835198764957,37,28,3.2362437609901997,0.9712020228974606
pond_1_cycle_9,0.17424242424242425,12,23,0.23940000000000006,6.886363636363637,0.3945165945165946,0.5355371900826447,1,9,5,5.125,6.129103449192964,0.08922109644060265,0,-0.14142198411067816,50,23,2.948771015422701,0.9404485584575967
pond_1_cycle_10,0.17424242424242425,12,23,0.20374999999999996,5.151515151515151,0.42581168831168836,0.5669421487603306,1,10,5,6.6976744186046515,8.189816219000074,0.10022789177286734,0,-0.06103158485643997,40,23,2.991146021799647,0.9539631763961881
pond_1_cycle_11,0.32142857142857145,8,18,0.22444444444444447,2.7551020408163267,0.5625,0.20634920634920634,1,11,5,7,11.638494123147783,0.24886635650393443,0,-0.12767438961190777,30,18,2.7283960237068645,0.9439602418800278
pond_1_cycle_12,0.2638888888888889,9,19,0.20184089414858647,4.236111111111111,0.5694444444444444,0.3258928571428571,1,12,4,5.75,6.081328649196233,0.028004348372043724,0,0.0015684861733099506,39,19,2.6476343171277406,0.8991982295646949
pond_1_cycle_13,0.1111111111111111,19,38,0.39854318418314255,4.716374269005848,0.4237932794950338,0.3754538852578068,1,13,7,3.6,4.06700633642739,0.060911171314487506,0,0.22967289909240743,62,38,3.4386401346445328,0.9453082301432505
pond_1_cycle_14,0.11403508771929824,19,39,0.35215794306703396,5.347953216374269,0.3832660354590179,0.39239893488259503,1,14,10,4.2894736842105265,5.385946625490414,0.11332561337728371,0,-0.0649781067808501,66,39,3.514732474965664,0.9593758245282396
pond_1_cycle_15,0.08771929824561403,19,30,0.4669187145557656,9.941520467836257,0.35107908660540244,0.3331517792302106,1,15,10,4.5,4.360984042413113,-0.01568854620677418,0,-0.20518526802369758,46,30,3.2520535066749283,0.9561495972590862
pond_1_cycle_16,0.13736263736263737,14,25,0.33179012345679015,4.527472527472527,0.3884877027734171,0.5941814595660749,1,16,8,8.078947368421053,15.362962796578236,0.3107261898406564,0,-0.0832768310506411,36,25,3.1308596534603352,0.9726562389490532
pond_1_cycle_17,0.13736263736263737,14,25,0.4096876414667269,5.181318681318682,0.39124803767660915,0.4635108481262327,1,17,9,6.8125,8.869398142165867,0.13116385041650216,0,-0.16025928754594634,47,25,2.912664101914594,0.9048699795786175
pond_1_cycle_18,0.15416666666666667,16,37,0.3941736028537455,4.595833333333333,0.44800595238095237,0.3915343915343915,1,18,7,4.416666666666667,5.059505069598782,0.06783735255366505,0,-0.040440165061898216,58,37,3.4804781000770246,0.9638762730909936
pond_1_cycle_19,0.11764705882352941,18,36,0.39566847147022066,4.392156862745098,0.4260607946882456,0.4390138408304498,1,19,8,6,7.990560468688888,0.1422788224348693,0,0.2269503546099291,49,36,3.4743791278410843,0.9695439559579818
pond_1_cycle_20,0.1794871794871795,13,28,0.26,4.288461538461538,0.45619658119658113,0.6477272727272727,1,20,8,5.568965517241379,7.483577503066572,0.14668497800362132,0,-0.07761856666792691,50,28,3.13605626450767,0.9411355920476739
pond_1_cycle_21,0.12380952380952381,15,26,0.5546875,7.338095238095238,0.3071923314780458,0.39521193092621665,1,21,7,5.192982456140351,6.06346964702562,0.07733228755448063,0,-0.06596100217483089,48,26,3.137707068438755,0.9630491398343172
pond_1_cycle_22,0.09064327485380116,19,31,0.45841209829867674,6.333333333333333,0.33541302751829066,0.631717501815541,1,22,9,5.384615384615385,9.695670847471245,0.28587358333312934,0,0.01884603976312697,46,31,3.274803425969039,0.9536446209501898
pond_2_cycle_1,0.19090909090909092,11,21,0.31975014872099944,4.609090909090909,0.4318181818181819,0.38666666666666666,2,1,7,7.444444444444445,8.170221860667263,0.04648049481436719,0,0.055534538851479166,41,21,2.8593218430861427,0.9391692462691238
pond_2_cycle_2,0.13725490196078433,18,42,0.36444642459345067,4.454248366013072,0.42331154684095856,0.5513840830449828,2,2,9,3.730769230769231,3.74746001225584,0.002231916265762614,0,-0.1470733431829224,67,42,3.499762293810743,0.9363487550347237
pond_2_cycle_3,0.13186813186813187,14,24,0.4453125,3.857142857142857,0.47435897435897434,0.4349112426035503,2,3,8,7.538461538461538,9.877795817004376,0.13431900039124428,0,-0.1458834384810369,32,24,3.059489109242115,0.9626926643049184
pond_2_cycle_4,0.15714285714285714,15,33,0.49167657550535077,5.752380952380952,0.399448223733938,0.4619309262166406,2,4,9,4.888888888888889,6.664084006782348,0.1536569966816596,0,-0.08755646581887755,58,33,3.3253511636304567,0.9510493271279418
