Pond_Cycle,Connectance,Unique_Nodes,totalEdges,modularity,mean_Distance,harm.centrality,betweenness,pond,cycle,No_Spec,mean_t,sd_t,B,markov_memory,time_memory,total_weight,S,H,J
pond_1_cycle_1,0.23636363636363636,11,26,0.29855371900826444,2.9454545454545453,0.5063636363636363,0.5488888888888889,1,1,7,5.636363636363637,5.839285194749754,0.01768279609915789,0,0.22913052947232712,44,26,3.0930226018668407,0.9493342403368795
pond_1_cycle_2,0.2857142857142857,8,16,0.21767713659605556,2.5357142857142856,0.5714285714285714,0.717687074829932,1,2,5,8.64864864864865,15.100066622767331,0.27165334631316357,0,0.04445688139108974,37,16,2.14767492986898,0.7746099926908824
pond_1_cycle_3,0.40476190476190477,7,17,0.012471655328798173,3.5,0.5571428571428572,0.3759259259259259,1,3,4,8,8.837282442901197,0.049727884873381395,0,0.12611558071320067,42,17,2.6114897782139184,0.9217413096308295
pond_1_cycle_4,0.1,20,38,0.3563265306122449,6.1078947368421055,0.39478696741854635,0.3755001538935057,1,4,7,4.942857142857143,6.376782420411338,0.12667587775561268,0,-0.126976455112843,70,38,3.248700868631265,0.8930924866053559
pond_1_cycle_5,0.2222222222222222,10,20,0.24677685950413225,5.044444444444444,0.4437149270482603,0.8873456790123457,1,5,6,5.236363636363636,4.895060383858014,-0.03368758940741241,0,-0.20262974220990296,55,20,2.680303147709381,0.8947071710549087
pond_1_cycle_6,0.17307692307692307,13,27,0.30493827160493825,4.871794871794871,0.4538461538461538,0.6963383838383839,1,6,6,6.2444444444444445,5.677529694712608,-0.0475520868536224,0,-0.07934224073806326,45,27,3.14402071649352,0.9539369951599389
pond_1_cycle_7,0.11904761904761904,15,25,0.35045970795024334,5.5476190476190474,0.3872335600907029,0.5341444270015698,1,7,7,6.5813953488372094,9.654095006141016,0.1892581985589143,0,0.0011140315635825033,43,25,3.075640075603674,0.9555013125520642
pond_1_cycle_8,0.13333333333333333,15,28,0.3078889700511322,4.530612244897959,0.44999999999999996,0.3649921507064364,1,8,6,6.081081081081081,7.66441408349283,0.11518922988619963,0,-0.18878920328195692,37,28,3.2362437609901997,0.9712020228974606
pond_1_cycle_9,0.17424242424242425,12,23,0.23940000000000006,6.886363636363637,0.3945165945165946,0.5355371900826447,1,9,5,5.2,6.411087334947679,0.10430438597274884,0,-0.12003848344791804,50,23,2.948771015422701,0.9404485584575967
pond_1_cycle_10,0.17424242424242425,12,23,0.20374999999999996,5.151515151515151,0.42581168831168836,0.5669421487603306,1,10,5,7.2,8.416101783531925,0.07787486277877453,0,-0.07334202143064003,40,23,2.991146021799647,0.9539631763961881
pond_1_cycle_11,0.32142857142857145,8,18,0.22444444444444447,2.7551020408163267,0.5625,0.20634920634920634,1,11,5,7.933333333333334,12.314648785598543,0.2163828191140428,0,-0.14712048812196968,30,18,2.7283960237068645,0.9439602418800278
pond_1_cycle_12,0.2638888888888889,9,19,0.20184089414858647,4.236111111111111,0.5694444444444444,0.3258928571428571,1,12,4,6.487179487179487,6.552909337288747,0.005040598342085296,0,-0.04384207313401493,39,19,2.6476343171277406,0.8991982295646949
