pond,cycle,Pond_Cycle,No_Spec,Connectance,Weighted_connectance,Unique_Nodes,UniqueEdges,TotalEdges,modularity,mean_Distance,harm.centrality,betweenness,betweenness_weighted,skewness,J,mean_t,sd_t,B,markov_memory,time_memory,meanDayOnset,medDayOnset,event.rate
8,6,pond_8_cycle_6,10,0.05317460317460317,0.12380952380952381,36,67,78,0.49515121630506254,4.188034188034191,0.3952999033494789,0.30415366146458583,11.384033613445379,2.7676985139404837,0.9864666771509053,2.730769230769231,2.5414643336157523,-0.03590601494445767,0,0.07912718087891102,166,170,0.005228688066873622
8,7,pond_8_cycle_7,7,0.15384615384615385,0.44871794871794873,13,24,35,0.39346938775510204,2.484294871794869,0.7272001009746107,0.5438762626262627,6.575757575757576,2.495935667951364,0.9466677525855612,6.371428571428571,16.712245799528727,0.4479710232401496,0,-0.04568457664141338,182.11111111111111,218.5,0.003393272356276841
8,8,pond_8_cycle_8,12,0.06048387096774194,0.17338709677419356,32,60,86,0.38426176311519744,3.243279569892476,0.5638022296182962,0.6203260492542491,20.11505376344086,3.1734378910510834,0.9579267046319863,2.441860465116279,2.3394551963213734,-0.021417801301182898,0,0.0028550016905513945,178.816091954023,177,0.005005956290387404
8,9,pond_8_cycle_9,10,0.09,0.23333333333333334,25,54,70,0.406530612244898,2.645370370370383,0.5991943350782429,0.5164678945249597,13.141304347826088,3.220074497517272,0.9729131370261817,4.214285714285714,8.20019946230164,0.3210695966299927,0,-0.08195775618475447,188.81690140845072,173,0.003796290702473568
8,10,pond_8_cycle_10,11,0.038908246225319396,0.10452961672473868,42,67,90,0.6241975308641975,6.6677451468392075,0.3548109789721394,0.4627007733491969,18.958536585365852,4.134088261035938,0.9512886638788165,3.6555555555555554,6.21553167134985,0.2593408463473632,0,0.267108088035321,150.72527472527472,155,0.003676161119296504
8,11,pond_8_cycle_11,8,0.11988304093567251,0.39766081871345027,19,41,68,0.45977508650519033,2.2256822612085814,0.815056351983631,0.60460542241588,11.055555555555555,1.593459766256717,0.958839702351406,3.2205882352941178,4.156798381343881,0.12690268176244915,0,0.2486262308373839,147.02898550724638,154,0.005365682677107543
8,12,pond_8_cycle_12,9,0.046218487394957986,0.11764705882352941,35,55,70,0.5718367346938775,4.731022408963576,0.4296687469437503,0.26338209080423614,9.94830659536542,2.755690065080565,0.9724356890873423,3.442857142857143,3.8283296175297505,0.053013694651971345,0,0.2210164025049736,162.29577464788733,156,0.004724793062261605
8,13,pond_8_cycle_13,11,0.09956709956709957,0.27705627705627706,22,46,64,0.4404296875,2.74549062049062,0.6162722975050919,0.3517762660619805,7.6571428571428575,1.846737322944418,0.9702198642378128,3.71875,5.702877998021478,0.21059290373575995,0,-0.0780760441801352,149.56923076923076,149,0.004624553393935625
8,14,pond_8_cycle_14,10,0.0754985754985755,0.19943019943019943,27,53,70,0.4085714285714286,2.9193548387096704,0.5659335373709472,0.40446745562130165,11.15,2.203993577881218,0.9746373095475682,3.4714285714285715,7.994058352557816,0.3944559713087868,0,0.033171950793922676,179.66197183098592,180,0.00509881505472538
8,15,pond_8_cycle_15,10,0.07312252964426877,0.233201581027668,23,37,59,0.4741453605285838,4.066139657443997,0.5510849337269297,0.277646595828414,6.108225108225108,1.9015694873530877,0.9446545119100223,3.9661016949152543,9.948082646133747,0.42991962766877545,0,-0.03884788109296776,156.21666666666667,152,0.004632737539336889
8,16,pond_8_cycle_16,9,0.09558823529411764,0.3014705882352941,17,26,41,0.3932183224271268,2.4837239583333384,0.6934740530501631,0.6005208333333333,9.608333333333333,1.2663762636640095,0.9580841173587786,5.317073170731708,7.360159727853207,0.16116186974442645,0,-0.0854749209199297,174.5,168,0.004660711497459012
8,17,pond_8_cycle_17,8,0.17424242424242425,0.5454545454545454,12,23,36,0.3514660493827161,1.9662534435261714,0.752788961879871,0.4099173553719008,5.2,1.600161863279485,0.9417505622017422,6.25,9.547999042432174,0.20876055464834564,0,0.0099506385646008,149.24324324324326,151,0.004453192032623634
8,18,pond_8_cycle_18,7,0.16025641025641027,0.6410256410256411,13,25,50,0.4096,1.793376068376067,0.9820615052684195,0.6534090909090909,7.742424242424242,1.2500513674002147,0.9382465957528588,5.14,6.279249922708662,0.09976574034369065,0,-0.0947091645014027,157.01960784313727,160,0.003714866905315464
8,19,pond_8_cycle_19,8,0.06267806267806268,0.16809116809116809,27,44,59,0.5099109451307096,3.775394477317555,0.49761680359806487,0.40884615384615375,11.186153846153847,2.129631140043064,0.9711424976231847,3.2203389830508473,5.1697655406389815,0.23234830413421462,0,0.05306963768023256,180.41666666666666,168.5,0.005199205474419035
8,20,pond_8_cycle_20,8,0.2,0.5777777777777777,10,18,26,0.30251479289940825,1.8175675675675669,0.7423477067594715,0.5879629629629629,5.291666666666667,1.2380055823137142,0.9657216453452796,7.230769230769231,9.713115637354235,0.14650397036485083,0,0.03026912389316712,152.33333333333334,149,0.0056497297880898755
8,21,pond_8_cycle_21,9,0.07427536231884058,0.2463768115942029,24,41,68,0.49956747404844287,3.4289251207729414,0.5759793109184622,0.4321189207767658,9.938735177865613,1.6437418451947727,0.9502772549871806,3.9558823529411766,4.780038791853496,0.09434110327373954,0,-0.002839562713253517,171.05797101449275,163,0.004095278493865706
8,22,pond_8_cycle_22,10,0.09210526315789473,0.2894736842105263,20,35,55,0.4634710743801653,3.168533834586466,0.5880761804501252,0.5472453062480763,10.514619883040936,2.6153206106298312,0.9188024682960387,5.345454545454546,10.481408906245985,0.3245086669550815,0,-0.09786259822731118,157.73214285714286,147,0.0038355454085305355
8,23,pond_8_cycle_23,9,0.0935672514619883,0.32748538011695905,19,32,56,0.3954081632653061,3.9982943469785552,0.6586336456472658,0.5338598402323893,10.016339869281046,1.7950371297087306,0.945294823650875,4.910714285714286,10.624631391619769,0.36780109207624795,0,-0.07206935132694238,157.6140350877193,154,0.004410084871716116
8,24,pond_8_cycle_24,9,0.07246376811594203,0.2427536231884058,24,40,67,0.393963020717309,3.0850241545893717,0.6191932300515189,0.500601477917168,12.504940711462451,1.4832990092359861,0.9424915680098617,3.2238805970149254,4.8518065848755825,0.20158358678271163,0,-0.04130700847434264,186.5441176470588,162.5,0.004353297499329218
